location,name,freq,weighting,n_factors,date,ret
per,debt_issuance,monthly,vw_cap,7,2013-08-31,0.0174877187670284
per,debt_issuance,monthly,vw_cap,7,2013-09-30,-0.0059534454000305
per,debt_issuance,monthly,vw_cap,7,2013-10-31,0.0157125553814359
per,debt_issuance,monthly,vw_cap,7,2013-11-30,0.00968746067523662
per,debt_issuance,monthly,vw_cap,7,2013-12-31,-0.00768997487033542
per,debt_issuance,monthly,vw_cap,7,2014-01-31,-0.0126045049647467
per,debt_issuance,monthly,vw_cap,7,2014-02-28,0.00955258153980441
per,debt_issuance,monthly,vw_cap,7,2014-03-31,-0.00363301441833717
per,debt_issuance,monthly,vw_cap,7,2014-04-30,0.00332560073008259
per,debt_issuance,monthly,vw_cap,7,2014-05-31,0.0103360968406714
per,debt_issuance,monthly,vw_cap,7,2014-06-30,-0.00152989860203451
per,debt_issuance,monthly,vw_cap,7,2014-07-31,0.0102653733057689
per,debt_issuance,monthly,vw_cap,7,2014-08-31,-0.0201639800273103
per,debt_issuance,monthly,vw_cap,7,2014-09-30,0.0208680421088632
per,debt_issuance,monthly,vw_cap,7,2014-10-31,0.0349478324031565
per,debt_issuance,monthly,vw_cap,7,2014-11-30,-0.0101107330612773
per,debt_issuance,monthly,vw_cap,7,2014-12-31,-0.00556719125672261
per,debt_issuance,monthly,vw_cap,7,2015-01-31,-0.0174798875093686
per,debt_issuance,monthly,vw_cap,7,2015-02-28,-0.00536665292690252
per,debt_issuance,monthly,vw_cap,7,2015-03-31,-0.00763573335165589
per,debt_issuance,monthly,vw_cap,7,2015-04-30,-0.0129067778327412
per,debt_issuance,monthly,vw_cap,7,2015-05-31,0.0074611857925052
per,debt_issuance,monthly,vw_cap,7,2015-06-30,0.00625290934401236
per,debt_issuance,monthly,vw_cap,7,2015-07-31,0.0477249603251691
per,debt_issuance,monthly,vw_cap,7,2015-08-31,0.0290793432000925
per,debt_issuance,monthly,vw_cap,7,2015-09-30,0.0335780440600523
per,debt_issuance,monthly,vw_cap,7,2015-10-31,-0.0570066040648521
per,debt_issuance,monthly,vw_cap,7,2015-11-30,0.0152632623616007
per,debt_issuance,monthly,vw_cap,7,2015-12-31,0.0475602877105826
