location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
per,aliq_at,monthly,vw_cap,-1,35,14,2012-11-30,0.0619791849667278
per,aliq_at,monthly,vw_cap,-1,34,12,2012-12-31,0.0689872265452834
per,aliq_at,monthly,vw_cap,-1,33,12,2013-01-31,0.0364995065952659
per,aliq_at,monthly,vw_cap,-1,38,15,2013-02-28,0.0203806422403459
per,aliq_at,monthly,vw_cap,-1,33,13,2013-03-31,0.0208050164364795
per,aliq_at,monthly,vw_cap,-1,32,11,2013-04-30,0.0951045600638457
per,aliq_at,monthly,vw_cap,-1,33,9,2013-05-31,0.0120022231601146
per,aliq_at,monthly,vw_cap,-1,32,8,2013-06-30,-0.000434909435204391
per,aliq_at,monthly,vw_cap,-1,29,8,2013-07-31,-0.0094370009707396
per,aliq_at,monthly,vw_cap,-1,32,10,2013-08-31,-0.00491754846324387
per,aliq_at,monthly,vw_cap,-1,37,11,2013-09-30,0.00770166286037559
per,aliq_at,monthly,vw_cap,-1,36,10,2013-10-31,0.00659868362437635
per,aliq_at,monthly,vw_cap,-1,34,11,2013-11-30,0.00558803970467878
per,aliq_at,monthly,vw_cap,-1,34,12,2013-12-31,-0.0472959739221732
per,aliq_at,monthly,vw_cap,-1,32,11,2014-01-31,0.0379241714155085
per,aliq_at,monthly,vw_cap,-1,33,13,2014-02-28,0.0227734647448271
per,aliq_at,monthly,vw_cap,-1,34,14,2014-03-31,0.0536283490465535
per,aliq_at,monthly,vw_cap,-1,39,15,2014-04-30,-0.070593962310487
per,aliq_at,monthly,vw_cap,-1,44,20,2014-05-31,0.0320451866625119
per,aliq_at,monthly,vw_cap,-1,47,20,2014-06-30,-0.0190745036790698
per,aliq_at,monthly,vw_cap,-1,46,20,2014-07-31,-0.00424165843398804
per,aliq_at,monthly,vw_cap,-1,32,15,2014-08-31,0.0288170787216721
per,aliq_at,monthly,vw_cap,-1,32,16,2014-09-30,-0.0340822378093992
per,aliq_at,monthly,vw_cap,-1,30,14,2014-10-31,-0.0116143821833631
per,aliq_at,monthly,vw_cap,-1,35,17,2014-11-30,-0.0115831591332334
per,aliq_at,monthly,vw_cap,-1,35,14,2014-12-31,-0.0268957185671948
per,aliq_at,monthly,vw_cap,-1,35,17,2015-01-31,0.0301543992355651
per,aliq_at,monthly,vw_cap,-1,35,15,2015-02-28,0.0506108579257171
per,aliq_at,monthly,vw_cap,-1,33,15,2015-03-31,-0.0484607124380166
per,aliq_at,monthly,vw_cap,-1,37,16,2015-04-30,-0.13252034011988
per,aliq_at,monthly,vw_cap,-1,43,18,2015-05-31,0.00500949459813499
per,aliq_at,monthly,vw_cap,-1,36,17,2015-06-30,0.000318279097215369
per,aliq_at,monthly,vw_cap,-1,38,17,2015-07-31,0.079841055258762
per,aliq_at,monthly,vw_cap,-1,35,15,2015-08-31,0.0321224665568736
per,aliq_at,monthly,vw_cap,-1,37,16,2015-09-30,0.0505710927131267
per,aliq_at,monthly,vw_cap,-1,32,13,2015-10-31,-0.0843909823373966
per,aliq_at,monthly,vw_cap,-1,25,8,2015-11-30,0.0244141592866761
per,aliq_at,monthly,vw_cap,-1,25,8,2015-12-31,0.0706522680395933
per,aliq_at,monthly,vw_cap,-1,24,6,2016-01-31,0.0015006196906084
per,aliq_at,monthly,vw_cap,-1,24,10,2016-02-29,-0.0335464215664871
per,aliq_at,monthly,vw_cap,-1,28,13,2016-03-31,-0.0442115068427109
per,aliq_at,monthly,vw_cap,-1,27,12,2016-04-30,0.0105157771364849
per,aliq_at,monthly,vw_cap,-1,34,12,2016-05-31,0.0414589719520024
per,aliq_at,monthly,vw_cap,-1,35,12,2016-06-30,-0.0542199700142263
